"muuttuja","kategoria","arvo_tai_kynnys","yksikko","kuvaus","lahde"
"Yksinasuvan perusosan leikkaus","Talous","3","Prosenttiyksikköä","Suunniteltu leikkaus yksinasuvan toimeentulotuen perusosaan julkisen talouden säästämiseksi.","[1]"
"Muiden 18 vuotta täyttäneiden perusosan leikkaus","Talous","2","Prosenttiyksikköä","Muiden kuin yksinasuvien täysi-ikäisten perusosaan kohdistuva leikkaus.","[1]"
"Ansiotulovähennys (suojaosa)","Talous / Työllisyys","150","Euroa / kuukausi","Osa ansiotuloista, joka ei vaikuta toimeentulotuen määrään; ehdotetaan poistettavaksi täysi-ikäisiltä.","[1]"
"Perusosan alentaminen (ensimmäinen vaihe)","Talous / Sanktiot","20","Prosenttia perusosasta","Alennus, joka tehdään työvoimapoliittisesti moitittavan menettelyn vuoksi ensimmäisen kuukauden aikana.","[1]"
"Perusosan alentaminen (toistuva laiminlyönti)","Talous / Sanktiot","40","Prosenttia perusosasta","Alennus, jos moitittava menettely jatkuu tai uusiutuu; kesto enintään 6 kuukautta.","[1]"
"Perusosan alentaminen (velvoitteiden laiminlyönti)","Talous / Sanktiot","50","Prosenttia perusosasta","Maksimialennus, jos hakija ei hae ensisijaista etuutta tai ilmoittaudu kokoaikatyön hakijaksi määräajassa.","[1]"
"Määräaika ensisijaisen etuuden hakemiseen","Hyvinvointi / Prosessi","1","Kuukausi","Aika, jonka kuluessa hakijan on haettava ensisijaista etuutta Kelan kehotuksesta välttääkseen sanktiot.","[1]"
"Omaishoidon aikaraja työnhakuvelvoitteelle","Hyvinvointi / Työllisyys","4","Tuntia / päivä","Raja-arvo, jonka alle jäävä päivittäinen hoivatyö ei vapauta velvollisuudesta hakea kokoaikatyötä.","[1]"
"Kokoaikatyön määritelmä (työnhakuvelvoite)","Työllisyys","30","Tuntia / viikko","Viikoittainen tuntimäärä, jota on haettava täyttääkseen kokoaikatyön hakuvelvoitteen.","[1]"
"Köyhyys- tai syrjäytymisriskissä olevien määrä (2023)","Hyvinvointi / Tilasto","930000","Henkilöä","Suomalaisten määrä, jotka olivat köyhyys- tai syrjäytymisriskissä ennen uudistuksia.","[1]"
"Asumismenojen enimmäismuutos (laskennallinen)","Talous / Asuminen","5-10","Prosenttia / vuosi","Kuntakohtaisten asumismenojen rajojen vuotuinen muutosraja (lasku tai nousu).","[1]"
"Vankien käyttöraha","Talous / Hyvinvointi","48","Euroa / kuukausi","Rangaistusta suorittavien vankien saama kuukausittainen käyttöraha.","[1]"
"Ekvivalentti mediaanitulo (2023)","Talous / Tilasto","33282","Euroa / vuosi","Laskennallinen mediaanitulo Suomessa, jota käytetään perusturvan riittävyyden arviointiin.","[1]"
"Sosiaaliavustuksen minimitaso (Euroopan sosiaalinen peruskirja)","Talous / Oikeudellinen","50","Prosenttia mediaanitulosta","Kansainvälisesti suositeltu minimitaso sosiaaliavustuksille, kuten toimeentulotuelle.","[1]"
"Määrällinen työnhakuvelvollisuus","Työllisyystoimet","4","työpaikkaa kuukaudessa","Työnhakijan vähimmäisvelvoite hakea työmahdollisuuksia työttömyysturvaoikeuden säilyttämiseksi.","[2]"
"Työnhakuvelvollisuuden kynnys (osa-aikatyö)","Työllisyystoimet","1","työpaikka kolmen kuukauden aikana","Alennettu työnhakuvelvollisuus vähintään kaksi viikkoa kestävässä osa-aikatyössä oleville tai lyhennetyllä työviikolla lomautetuille.","[2]"
"Työttömyysturvan karenssi (työstä eroaminen)","Sanktiojärjestelmä","45","päivää","Korvaukseton määräaika, jos työntekijä eroaa työstä ilman pätevää syytä tai aiheuttaa työsuhteen päättymisen.","[2]"
"Laiminlyöntien seuranta-aika","Sanktiojärjestelmä","12","kuukautta","Tarkastelujakso, jonka kuluessa tapahtuneet laiminlyönnit vaikuttavat työttömyysturvaseuraamusten porrastukseen.","[2]"
"Toinen laiminlyönti (porrastettu seuraamus)","Sanktiojärjestelmä","5","etuuden maksupäivää","Korvaukseton määräaika, joka asetetaan 12 kuukauden sisällä tapahtuneesta toisesta työnhakuvelvoitteen laiminlyönnistä.","[2]"
"Kolmas laiminlyönti (porrastettu seuraamus)","Sanktiojärjestelmä","10","etuuden maksupäivää","Korvaukseton määräaika, joka asetetaan 12 kuukauden sisällä tapahtuneesta kolmannesta laiminlyönnistä.","[2]"
"Työssäolovelvoite (neljäs laiminlyönti)","Sanktiojärjestelmä","12","kalenteriviikkoa","Työssäoloehtoon luettava työaika, joka vaaditaan työttömyysturvaoikeuden palauttamiseksi toistuvien laiminlyöntiien jälkeen.","[2]"
"Alkuhaastattelun määräaika","Palveluprosessi","5","arkipäivää","Määräaika, jonka kuluessa työ- ja elinkeinotoimiston on järjestettävä ensimmäinen tapaaminen työnhaun alkamisesta.","[2]"
"Täydentävien työnhakukeskustelujen tiheys","Palveluprosessi","2","viikon välein","Tiiviin palvelujakson tapaamisväli työttömyyden alkuvaiheessa (ensimmäiset 3 kuukautta).","[2]"
"Provisiopalkan alaraja (pätevä syy kieltäytyä)","Työttömyysturva","1252","euroa/kuukausi (vuonna 2021)","Palkkaraja, jonka alapuolella olevasta provisiopalkkaisesta kokoaikatyöstä voi kieltäytyä ilman seuraamuksia.","[2]"
"Työmatkan kesto (pätevä syy kieltäytyä)","Työttömyysturva","3","tuntia (keskiarvo päivässä)","Päivittäisen työmatkan keston yläraja kokoaikatyössä, jonka ylittyessä työstä voi kieltäytyä.","[2]"
"Ammattitaitosuojan kesto","Työttömyysturva","3","kuukautta","Ajanjakso työttömyyden alussa, jolloin työnhakija saa kieltäytyä muusta kuin koulutustaan tai kokemustaan vastaavasta työstä.","[2]"
"Uudistuksen työllisyystavoite","Talous","9500-10000","lisätyöllistä","Hallituksen esityksen tavoiteltu vaikutus työllisyyden parantamiseen.","[2]"
"Työttömyysturvan seuraamus (1. laiminlyönti)","Sosiaaliturva","7","päivää","Työttömyysetuuden menetys suoraan ensimmäisestä laiminlyönnistä ilman muistutusta maaliskuusta 2026 alkaen.","[3]"
"Työssäolovelvoite (2. laiminlyönti)","Sosiaaliturva","6","kalenteriviikkoa","Oikeus työttömyysturvaan katkeaa toistaiseksi; palautuu työskentelyllä tai palveluihin osallistumisella.","[3]"
"Määrällinen työhakuvelvoite","Sosiaaliturva","4","työpaikkaa / kuukausi","Lähtökohtainen velvoite hakea työpaikkoja kuukausittain työttömyysturvan säilyttämiseksi.","[3]"
"Yleistuki (perustaso)","Sosiaaliturva","37,21","euroa / päivä","Työmarkkinatuen ja peruspäivärahan korvaava tarveharkintainen tuki (vuoden 2025 taso).","[3]"
"Toimeentulotuen perusosan alentaminen","Sosiaaliturva","20-50","prosenttia","Alennus, jos hakija ei hae ensisijaisia etuuksia tai ilmoittaudu kokoaikatyötä hakevaksi.","[3]"
"Pysyvän oleskeluluvan asumisaikavaatimus","Maahanmuutto","6","vuotta","Vaadittava asumisaika pitenee nykyisestä neljästä vuodesta kuuteen vuoteen.","[3]"
"Palkansaajan työttömyysvakuutusmaksu","Talous","0,89","prosenttia","Palkansaajan osuus työttömyysvakuutusmaksusta vuonna 2026.","[3]"
"Kotimaan kokopäiväraha","Talous","54","euroa","Verovapaan kotimaan kokopäivärahan määrä vuonna 2026.","[3]"
"Kilometrikorvaus","Talous","55","senttiä / km","Verovapaa kilometrikorvaus vuonna 2026.","[3]"
"Lomautuksen ilmoitusaika","Työlainsäädäntö","7","päivää","Hallituksen esittämä lyhennetty vähimmäismääräaika lomautuksesta ilmoittamiseen.","[3]"
"Työllisyysasteen tavoite","Talous ja työllisyys","80","prosenttia (%)","Hallitusohjelman mukainen tavoite työllisyysasteen nostamiseksi vuoteen 2031 mennessä.","[4]"
"Työllisten määrän lisäystavoite","Talous ja työllisyys","100 000","henkilöä","Hallituskauden 2023–2027 tavoite työllisyyden nostamiseksi uudistusten avulla.","[4]"
"Norminpurun taloudellinen vaikutus","Talous","10–20","miljoonaa euroa","Alustava arvio työnhaun palveluprosessin normien keventämisen säästövaikutuksista kuntatalouteen.","[4]"
"Uupumuspisteet (KEDS)","Mielenterveys (Inferred)","19","0–54 pisteen asteikko","Kynnysarvo uupumuksen tunnistamiseksi; käytetään simulaatiossa stressitekijöiden mittarina (käyttäjän määrittelemä).","Käyttäjän kuvaus / Not in source"
